id	name	direction	gpr	pathway	enzyme	equation	reference
rxn03052[c0]	5-Methyltetrahydropteroyltri-L-glutamate L-homocysteine c0	=	kb|g.575.peg.401	Methionine Biosynthesis	|2.1.1.14|	cpd00135[c0] + cpd02738[c0]  <=> cpd00060[c0] + cpd02555[c0] 	 
rxn00248[c0]	S-malate NAD oxidoreductase c0	<	kb|g.575.peg.645	Glyoxylate Bypass	1.1.1.37	cpd00067[c0] + cpd00032[c0] + cpd00004[c0]  <=> cpd00130[c0] + cpd00003[c0] 	 
rxn01302[c0]	L-Homoserine NADP oxidoreductase c0	<	kb|g.575.peg.1702	Methionine Biosynthesis	1.1.1.3	cpd00067[c0] + cpd00005[c0] + cpd00346[c0]  <=> cpd00006[c0] + cpd00227[c0] 	 
rxn00048[c0]	6 7-Dimethyl-8-1-D-ribityllumazine 6 7-dimethyl-8-1-D-ribityl c0	>	kb|g.575.peg.180	Riboflavin, FMN, and FAD Metabolism	2.5.1.9	2 cpd02656[c0]  -> cpd02882[c0] + cpd00220[c0] 	 
rxn05229[c0]	NCAIR synthetase and NCAIR mutase c0	>	(kb|g.575.peg.282)	De Novo Purine Biosynthesis		cpd00002[c0] + cpd02140[c0] + cpd00242[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd02893[c0] + cpd00008[c0] 	 
rxn12637[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11589[c0]  <=> cpd00041[c0] + cpd00033[c0] 	 
rxn00321[c0]	L-Lysine 2 3-aminomutase c0	=	kb|g.575.peg.861	Lysine Degradation	|5.4.3.2|	cpd00039[c0]  <=> cpd00840[c0] 	 
rxn07586[c0]	rxn07586 c0	=	kb|g.575.peg.1591	Coenzyme B12 Biosynthesis		cpd00001[c0] + cpd08371[c0]  <=> cpd00067[c0] + cpd14960[c0] + cpd00071[c0] 	 
rxn00902[c0]	3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase c0	>	kb|g.575.peg.1063	Branched Chain Amino Acid Biosynthesis	2.3.3.13|4.1.3.12	cpd00022[c0] + cpd00001[c0] + cpd00123[c0]  -> cpd00067[c0] + cpd00010[c0] + cpd01646[c0] 	 
rxn00952[c0]	O-Acetyl-L-homoserine acetate-lyase adding methanethiol c0	>	kb|g.575.peg.12	Methionine Biosynthesis	|2.5.1.49|4.2.99.8|4.2.99.10|	cpd00790[c0] + cpd00239[c0]  -> cpd00067[c0] + cpd00135[c0] + cpd00029[c0] 	 
rxn10230[c0]	anteisopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15687[c0]  -> cpd00067[c0] + cpd15693[c0] + cpd00046[c0] 	 
rxn02056[c0]	S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase c0	=	kb|g.575.peg.89	Heme and Siroheme Biosynthesis	|4.99.1.4|	2 cpd00067[c0] + cpd00557[c0]  <=> cpd03426[c0] + cpd10515[c0] 	 
rxn00459[c0]	2-Phospho-D-glycerate hydro-lyase c0	=	kb|g.575.peg.396	Glycolysis and Gluconeogenesis	4.2.1.11	cpd00482[c0]  <=> cpd00001[c0] + cpd00061[c0] 	 
rxn10225[c0]	isohexadecanoyl-phosphatidate cytidylyltransferase c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd15682[c0] + cpd00052[c0]  <=> cpd15688[c0] + cpd00012[c0] 	 
rxn08311[c0]	CDP-diacylglycerol synthetase n-C18 0 c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd00052[c0] + cpd15526[c0]  <=> cpd00012[c0] + cpd15421[c0] 	 
rxn01101[c0]	3-Phospho-D-glycerate NAD 2-oxidoreductase c0	=	(kb|g.575.peg.1588 or kb|g.575.peg.870)	Serine Biosynthesis	1.1.1.95	cpd00003[c0] + cpd00169[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd02069[c0] 	 
rxn00302[c0]	GTP 7 8-8 9-dihydrolase c0	>	kb|g.575.peg.34	Folate Biosynthesis	|3.5.4.16|	cpd00001[c0] + cpd00038[c0]  -> cpd03518[c0] 	 
rxn05145[c0]	Orthophosphate-ABC transport c0	>	(kb|g.575.peg.1098 and (kb|g.575.peg.345 or kb|g.575.peg.1095) and kb|g.575.peg.1097 and kb|g.575.peg.1096 and kb|g.575.peg.1099) 	Transport	|TC-3.A.1.7|3.A.1.7|	cpd00001[c0] + cpd00002[c0] + cpd00009[e0]  <=> cpd00067[c0] + 2 cpd00009[c0] + cpd00008[c0] 	 
rxn02988[c0]	quinolinate synthase c0	>	kb|g.575.peg.1242	NAD/NADP Cofactor Biosynthesis		cpd03470[c0] + cpd00095[c0]  -> cpd00067[c0] + 2 cpd00001[c0] + cpd00009[c0] + cpd02333[c0] 	 
rxn07307[c0]	2R-O-phospho-3-sulfolactate sulfo-lyase c0	>	kb|g.575.peg.273	Coenzyme M Biosynthesis	|4.4.1.19|	cpd00081[c0] + cpd00061[c0]  -> cpd08366[c0] 	 
rxn02937[c0]	2-Formamido-N1-5-phosphoribosylacetamidine cyclo-ligase c0	=	kb|g.575.peg.1254 or kb|g.575.peg.882	De Novo Purine Biosynthesis	6.3.3.1	cpd00002[c0] + cpd02826[c0]  <=> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02140[c0] 	 
rxn00558[c0]	D-Glucose-6-phosphate ketol-isomerase c0	=	kb|g.575.peg.1295	Glycolysis and Gluconeogenesis	5.3.1.9	cpd00079[c0]  <=> cpd00072[c0] 	 
rxn01406[c0]	S-Adenosylmethioninamine putrescine 3-aminopropyltransferase c0	>	kb|g.575.peg.1584	Polyamine Metabolism	2.5.1.16	cpd00118[c0] + cpd00837[c0]  -> cpd00067[c0] + cpd00147[c0] + cpd00264[c0] 	 
rxn00187[c0]	L-Glutamate ammonia ligase ADP-forming c0	>	kb|g.575.peg.1206	Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis	6.3.1.2	cpd00002[c0] + cpd00013[c0] + cpd00023[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00053[c0] 	 
rxn01200[c0]	Sedoheptulose-7-phosphate D-glyceraldehyde-3-phosphate c0	=	(kb|g.575.peg.1113 or kb|g.575.peg.1115)	Pentose Phosphate Pathway	2.2.1.1	cpd00238[c0] + cpd00102[c0]  <=> cpd00198[c0] + cpd00101[c0] 	 
rxn05232[c0]	Ribonucleotide reductase ATP c0	>	kb|g.575.peg.227	Ribonucleotide Reduction	1.17.4.2	cpd11421[c0] + cpd00002[c0]  -> cpd11420[c0] + cpd00001[c0] + cpd00115[c0] 	 
rxn00835[c0]	ATP inosine 5'-phosphotransferase c0	=	kb|g.575.peg.418	Purine Conversions	2.7.1.73	cpd00002[c0] + cpd00246[c0]  <=> cpd00008[c0] + cpd00114[c0] 	 
rxn12844[c0]	Gly-Cys aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation	|3.4.11.2|	cpd00001[c0] + cpd15603[c0]  <=> cpd00033[c0] + cpd00084[c0] 	 
rxn01678[c0]	ATP nucleoside-diphosphate phosphatransferase c0	=	kb|g.575.peg.283	Purine Conversions	2.7.4.6	cpd00002[c0] + cpd00978[c0]  <=> cpd00008[c0] + cpd00358[c0] 	 
rxn09208[c0]	Phosphatidylserine syntase n-C16 0 c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15419[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15555[c0] 	 
rxn10060[c0]	NAD kinase dTTP c0	=	kb|g.575.peg.1489	NAD/NADP Cofactor Biosynthesis	|2.7.1.23|	cpd00003[c0] + cpd00357[c0]  <=> cpd00006[c0] + cpd00297[c0] 	 
rxn00100[c0]	ATP dephospho-CoA 3'-phosphotransferase c0	>	(kb|g.575.peg.1071 or kb|g.575.peg.1282)	Coenzyme A Biosynthesis	2.7.1.24	cpd00002[c0] + cpd00655[c0]  -> cpd00010[c0] + cpd00008[c0] 	 
rxn01018[c0]	Carbamoyl-phosphate L-aspartate carbamoyltransferase c0	>	(kb|g.575.peg.1104 or kb|g.575.peg.1659)	De Novo Pyrimidine Synthesis	2.1.3.2	cpd00041[c0] + cpd00146[c0]  -> 2 cpd00067[c0] + cpd00009[c0] + cpd00343[c0] 	 
rxn00806[c0]	L-Leucine 2-oxoglutarate aminotransferase c0	=	kb|g.575.peg.132	Branched Chain Amino Acid Biosynthesis	2.6.1.42|2.6.1.6|2.6.1.67	cpd00024[c0] + cpd00107[c0]  <=> cpd00023[c0] + cpd00200[c0] 	 
rxn02834[c0]	Phosphoribosyl-ATP pyrophosphohydrolase c0	>	(kb|g.575.peg.280 and kb|g.575.peg.51)	Histidine Biosynthesis	3.6.1.31	cpd00001[c0] + cpd01775[c0]  -> cpd00012[c0] + cpd01777[c0] 	 
rxn02341[c0]	N-R-4'-Phosphopantothenoyl-L-cysteine carboxy-lyase c0	>	((kb|g.575.peg.204 or kb|g.575.peg.1606) and (kb|g.575.peg.204 or kb|g.575.peg.1606))	Coenzyme A Biosynthesis	4.1.1.36	cpd00067[c0] + cpd02666[c0]  -> cpd00011[c0] + cpd00834[c0] 	 
rxn03175[c0]	N-5'-Phospho-D-ribosylformimino-5-amino-1- c0	=	kb|g.575.peg.417	Histidine Biosynthesis	5.3.1.16	cpd02979[c0]  <=> cpd02991[c0] 	 
rxn00786[c0]	D-Fructose-1 6-bisphosphate D-glyceraldehyde-3-phosphate-lyase c0	=	kb|g.575.peg.293	Glycolysis and Gluconeogenesis	4.1.2.13	cpd00290[c0]  <=> cpd00095[c0] + cpd00102[c0] 	 
rxn01637[c0]	N2-Acetyl-L-ornithine 2-oxoglutarate aminotransferase c0	=	kb|g.575.peg.1101	Arginine Biosynthesis	2.6.1.11	cpd00024[c0] + cpd00342[c0]  <=> cpd00023[c0] + cpd00918[c0] 	 
rxn12640[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11586[c0]  <=> cpd00035[c0] + cpd00023[c0] 	 
rxn05596[c0]	potassium transport out via proton antiport c0	=	kb|g.575.peg.27 or kb|g.575.peg.484 or kb|g.575.peg.1430 or kb|g.575.peg.1599	Transport	|TC-2.A.37|2.A.37|	cpd00067[e0] + cpd00205[c0]  <=> cpd00067[c0] + cpd00205[e0] 	 
rxn02569[c0]	ATP selenide water phosphotransferase c0	=	kb|g.575.peg.904	Selenocysteine Metabolism	2.7.9.3	cpd00001[c0] + cpd00002[c0] + cpd01078[c0]  <=> 2 cpd00067[c0] + cpd00009[c0] + cpd00018[c0] + cpd03078[c0] 	 
rxn00710[c0]	Orotidine-5'-phosphate carboxy-lyase c0	>	kb|g.575.peg.602	De Novo Pyrimidine Synthesis	4.1.1.23	cpd00067[c0] + cpd00810[c0]  -> cpd00011[c0] + cpd00091[c0] 	 
rxn02775[c0]	S-Adenosyl-L-methionine precorrin-4 C20-methyltransferase c0	=	kb|g.575.peg.319	Coenzyme B12 Biosynthesis	|2.1.1.130|	cpd00067[c0] + cpd01620[c0] + cpd00017[c0]  <=> cpd00019[c0] + cpd03420[c0] 	 
rxn07589[c0]	rxn07589 c0	=	kb|g.575.peg.1221	Coenzyme B12 Biosynthesis		cpd00017[c0] + cpd14961[c0]  <=> cpd00011[c0] + cpd00019[c0] + cpd08375[c0] 	 
rxn00717[c0]	Cytosine aminohydrolase c0	>	kb|g.575.peg.869	Creatine and Creatinine Degradation	3.5.4.1	cpd00067[c0] + cpd00001[c0] + cpd00307[c0]  -> cpd00013[c0] + cpd00092[c0] 	 
rxn10308[c0]	myristoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	=	kb|g.575.peg.1423	Teichoic and Lipoteichoic Acids Biosynthesis	|2.7.8.-|	cpd15747[c0] + 24 cpd00037[c0]  <=> 24 cpd00014[c0] + cpd15765[c0] 	 
rxn05249[c0]	FACOAL150ISO c0	>	kb|g.575.peg.566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	|6.2.1.3|	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11436[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11437[c0] 	 
rxn02897[c0]	Nicotinate-nucleotide dimethylbenzimidazole c0	=	kb|g.575.peg.338	Coenzyme B12 Biosynthesis	|2.4.2.21|	cpd01997[c0] + cpd00873[c0]  <=> cpd00067[c0] + cpd00218[c0] + cpd02904[c0] 	 
rxn03409[c0]	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine- c0	>	kb|g.575.peg.1206	Peptidoglycan Biosynthesis	|6.3.1.2|	cpd00002[c0] + cpd00013[c0] + cpd03495[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd03496[c0] 	 
rxn01301[c0]	L-Homoserine NAD oxidoreductase c0	<	kb|g.575.peg.1702	Methionine Biosynthesis	|1.1.1.3|	cpd00067[c0] + cpd00004[c0] + cpd00346[c0]  <=> cpd00003[c0] + cpd00227[c0] 	 
rxn07191[c0]	D-glyceraldehyde-3-phosphate ferredoxin oxidoreductase c0	>	kb|g.575.peg.945	Glycolysis and Gluconeogenesis	|1.2.7.6|	cpd00001[c0] + cpd00102[c0] + cpd11621[c0]  <=> 3 cpd00067[c0] + cpd00169[c0] + cpd11620[c0] 	 
rxn04046[c0]	S-adenosyl-L-methionine cobalt-factor-II C20-methyltransferase c0	=	kb|g.575.peg.319	Coenzyme B12 Biosynthesis	|2.1.1.151|	cpd00017[c0] + cpd08368[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd08369[c0] 	 
rxn13782[c0]	Protein biosynthesis c0	>	(kb|g.575.peg.1060 and kb|g.575.peg.326 and kb|g.575.peg.946 and kb|g.575.peg.575 and kb|g.575.peg.397 and kb|g.575.peg.1592 and kb|g.575.peg.1255 and kb|g.575.peg.1011 and kb|g.575.peg.1026 and kb|g.575.peg.1474 and kb|g.575.peg.697 and kb|g.575.peg.1510 and kb|g.575.peg.263 and kb|g.575.peg.1614 and kb|g.575.peg.584 and kb|g.575.peg.1496 and kb|g.575.peg.414 and kb|g.575.peg.1616)	Ribosome LSU (Bacteria)		 -> cpd17041[c0] 	 
rxn03407[c0]	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine- c0	>	kb|g.575.peg.1206	Peptidoglycan Biosynthesis	|6.3.1.2|	cpd00002[c0] + cpd00013[c0] + cpd03491[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd03492[c0] 	 
rxn01682[c0]	1S 2R-1-C-indol-3-ylglycerol 3-phosphate c0	=	(kb|g.575.peg.1002 and kb|g.575.peg.1003)	Tryptophan Synthesis	4.1.2.8|4.2.1.20	cpd02210[c0]  <=> cpd00102[c0] + cpd00359[c0] 	 
rxn02474[c0]	5-amino-6-5-phosphoribitylaminouracil NADP 1'-oxidoreductase c0	=	kb|g.575.peg.1348	Riboflavin, FMN, and FAD Metabolism	1.1.1.193	cpd00006[c0] + cpd02720[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd00931[c0] 	 
rxn10311[c0]	anteisoheptadecanoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	=	kb|g.575.peg.1423	Teichoic and Lipoteichoic Acids Biosynthesis	|2.7.8.-|	24 cpd00037[c0] + cpd15750[c0]  <=> 24 cpd00014[c0] + cpd15768[c0] 	 
rxn01486[c0]	trans trans-Farnesyl-diphosphate isopentenyl-diphosphate c0	>	kb|g.575.peg.45	Archaeal Lipids	|2.5.1.29|	cpd00113[c0] + cpd00350[c0]  -> cpd00012[c0] + cpd00289[c0] 	 
rxn00898[c0]	2 3-Dihydroxy-3-methylbutanoate hydro-lyase c0	>	kb|g.575.peg.318	Branched Chain Amino Acid Biosynthesis	4.2.1.9	cpd02498[c0]  -> cpd00001[c0] + cpd00123[c0] 	 
rxn01069[c0]	O-Phospho-L-homoserine phospho-lyase adding water c0	>	kb|g.575.peg.135	Threonine and Homoserine Biosynthesis	4.2.3.1|4.2.99.2	cpd00001[c0] + cpd00809[c0]  -> cpd00067[c0] + cpd00161[c0] + cpd00009[c0] 	 
rxn02113[c0]	2-Acetolactate carboxy-lyase c0	>	kb|g.575.peg.613	Acetoin, Butanediol Metabolism	|4.1.1.5|	cpd00067[c0] + cpd00668[c0]  -> cpd00011[c0] + cpd00361[c0] 	 
rxn00117[c0]	ATP nucleoside-diphosphate phosphatransferase c0	=	kb|g.575.peg.283	Purine Conversions; Pyrimidine Conversions	2.7.4.6	cpd00002[c0] + cpd00014[c0]  <=> cpd00008[c0] + cpd00062[c0] 	 
rxn00555[c0]	L-Glutamine D-fructose-6-phosphate aminotransferase hexose c0	=	kb|g.575.peg.1680	Formaldehyde Assimilation: Ribulose Monophosphate Pathway	2.6.1.16	cpd00072[c0] + cpd00053[c0]  <=> cpd00023[c0] + cpd00288[c0] 	 
rxn00260[c0]	L-Aspartate 2-oxoglutarate aminotransferase c0	=	(kb|g.575.peg.1396 or kb|g.575.peg.1216 or kb|g.575.peg.1072 or kb|g.575.peg.391 or kb|g.575.peg.1527)	Amino Acid Biosynthesis	2.6.1.1	cpd00041[c0] + cpd00024[c0]  <=> cpd00032[c0] + cpd00023[c0] 	 
rxn02484[c0]	ATP 4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase c0	=	kb|g.575.peg.1639	Thiamin Biosynthesis	2.7.1.49	cpd00002[c0] + cpd00939[c0]  <=> cpd00008[c0] + cpd02775[c0] 	 
rxn00527[c0]	L-Tyrosine 2-oxoglutarate aminotransferase c0	=	(kb|g.575.peg.315 and kb|g.575.peg.316) or (kb|g.575.peg.713 and kb|g.575.peg.714)	Amino Acid Biosynthesis	2.6.1.1|2.6.1.1 or 2.6.1.9|2.6.1.5|2.6.1.57|2.6.1.9	cpd00024[c0] + cpd00069[c0]  <=> cpd00023[c0] + cpd00868[c0] 	 
rxn05171[c0]	Nitrate-ABC transport c0	>	kb|g.575.peg.1260 or kb|g.575.peg.1197 or kb|g.575.peg.1198	Transport		cpd00001[c0] + cpd00002[c0] + cpd00209[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00209[c0] 	 
rxn04052[c0]	precorrin-8X methylmutase c0	=	kb|g.575.peg.330	Coenzyme B12 Biosynthesis	|5.4.1.2|	cpd08375[c0]  <=> cpd03421[c0] 	 
rxn13783[c0]	DNA replication c0	>	((kb|g.575.peg.402 or kb|g.575.peg.1397) and kb|g.575.peg.1516 and kb|g.575.peg.594 and kb|g.575.peg.956 and kb|g.575.peg.1286 and kb|g.575.peg.970)	DNA-Replication		 -> cpd17042[c0] 	 
rxn04045[c0]	sirohydrochlorin cobalt-lyase c0	=	kb|g.575.peg.164	Coenzyme B12 Biosynthesis	|4.99.1.3|	cpd03426[c0] + cpd00149[c0] + cpd11640[c0]  <=> cpd08368[c0] 	 
rxn01974[c0]	LL-2 6-Diaminoheptanedioate 2-epimerase c0	=	kb|g.575.peg.917	Lysine Biosynthesis DAP Pathway	5.1.1.7	cpd00504[c0]  <=> cpd00516[c0] 	 
rxn12645[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11581[c0]  <=> cpd00033[c0] + cpd00132[c0] 	 
rxn00299[c0]	GTP 7 8-8 9-dihydrolase c0	>	kb|g.575.peg.34	Folate Biosynthesis	3.5.4.16	cpd00001[c0] + cpd00038[c0]  -> cpd00067[c0] + cpd00047[c0] + cpd02978[c0] 	 
rxn00839[c0]	ATP nucleoside-diphosphate phosphatransferase c0	=	kb|g.575.peg.283	Purine Conversions; Pyrimidine Conversions	2.7.4.6	cpd00002[c0] + cpd00177[c0]  <=> cpd00008[c0] + cpd00115[c0] 	 
rxn03020[c0]	5-Methyl-5 6 7 8-tetrahydromethanopterin 2-mercaptoethanesulfonate c0	=	kb|g.575.peg.1560 and kb|g.575.peg.1561 and kb|g.575.peg.1562 and kb|g.575.peg.1563 and kb|g.575.peg.1564 and kb|g.575.peg.1565 and kb|g.575.peg.1566 and kb|g.575.peg.1567	Methanogenesis	|2.1.1.86|	cpd02737[c0] + cpd02246[c0] + 2 cpd00971[c0]  <=> cpd02438[c0] + cpd00895[c0] + 2 cpd00971[e0] 	 
rxn00283[c0]	L-Alanine racemase c0	=	kb|g.575.peg.1512	Alanine Biosynthesis	5.1.1.1	cpd00035[c0]  <=> cpd00117[c0] 	 
rxn01022[c0]	5'-Methylthioadenosine orthophosphate c0	=	kb|g.575.peg.185	Methionine Salvage	|2.4.2.28|	cpd00067[c0] + cpd00009[c0] + cpd00147[c0]  <=> cpd00128[c0] + cpd02574[c0] 	 
rxn10221[c0]	anteisoheptadecanoyl-phosphatidate cytidylyltransferase c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd00052[c0] + cpd15678[c0]  <=> cpd00012[c0] + cpd15684[c0] 	 
rxn09177[c0]	phosphopantothenate-cysteine ligase c0	>	(kb|g.575.peg.204 or kb|g.575.peg.1606)	Coenzyme A Biosynthesis	6.3.2.5	cpd00052[c0] + cpd00084[c0] + cpd02201[c0]  -> cpd00046[c0] + cpd00012[c0] + cpd02666[c0] 	 
rxn03437[c0]	R-2 3-Dihydroxy-3-methylpentanoate hydro-lyase c0	>	kb|g.575.peg.318	Branched Chain Amino Acid Biosynthesis	|4.2.1.9|	cpd02535[c0]  -> cpd00001[c0] + cpd00508[c0] 	 
rxn02320[c0]	5-Amino-2-oxopentanoate 2-oxoglutarate aminotransferase c0	=	(kb|g.575.peg.1216 and kb|g.575.peg.1527)	Histidine Biosynthesis	2.6.1.9	cpd00024[c0] + cpd00807[c0]  <=> cpd00023[c0] + cpd00930[c0] 	 
rxn07587[c0]	rxn07587 c0	=	kb|g.575.peg.1203	Coenzyme B12 Biosynthesis		cpd14960[c0] + cpd00017[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd08372[c0] 	 
rxn02507[c0]	1-2-Carboxyphenylamino-1-deoxy-D-ribulose-5-phosphate c0	>	kb|g.575.peg.1008	Tryptophan Synthesis	4.1.1.48	cpd00067[c0] + cpd00956[c0]  -> cpd00011[c0] + cpd00001[c0] + cpd02210[c0] 	 
