Rxn_ID	Rxn_Name	GPR	Subsystem	Formula	Readable_Formula
rxn03419[c0]	Formamidopyrimidine nucleoside triphosphate 7 8-8 9-dihydrolase c0	MMP0034	Folate Biosynthesis	cpd00001[c0] + cpd03518[c0]  <=> cpd00067[c0] + cpd03519[c0] + cpd00047[c0] 	H2O[c0] + Formamidopyrimidine_nucleoside_triphosphate[c0]  <=> H[c0] + 2_5-Diaminopyrimidine_nucleoside_triphosphate[c0] + Formate[c0] 	
rxn03052[c0]	5-Methyltetrahydropteroyltri-L-glutamate L-homocysteine c0	MMP0401	Methionine Biosynthesis	cpd00135[c0] + cpd02738[c0]  <=> cpd00060[c0] + cpd02555[c0] 	Homocysteine[c0] + 5-Methyltetrahydropteroyltri-L-glutamate[c0]  <=> L-Methionine[c0] + Tetrahydropteroyltri-L-glutamate[c0] 	
rxn00248[c0]	S-malate NAD oxidoreductase c0	MMP0645	Glyoxylate Bypass	cpd00067[c0] + cpd00032[c0] + cpd00004[c0]  <=> cpd00130[c0] + cpd00003[c0] 	H[c0] + Oxaloacetate[c0] + NADH[c0]  <=> L-Malate[c0] + NAD[c0] 	
rxn01302[c0]	L-Homoserine NADP oxidoreductase c0	MMP1702	Methionine Biosynthesis	cpd00067[c0] + cpd00005[c0] + cpd00346[c0]  <=> cpd00006[c0] + cpd00227[c0] 	H[c0] + NADPH[c0] + L-Aspartate4-semialdehyde[c0]  <=> NADP[c0] + L-Homoserine[c0] 	
rxn00048[c0]	6 7-Dimethyl-8-1-D-ribityllumazine 6 7-dimethyl-8-1-D-ribityl c0	MMP0180	Riboflavin, FMN, and FAD Metabolism	2 cpd02656[c0]  -> cpd02882[c0] + cpd00220[c0] 	2 6-7-Dimethyl-8-1-D-ribityllumazine[c0]  -> 4-1-D-Ribitylamino-5-aminouracil[c0] + Riboflavin[c0] 	
rxn05229[c0]	NCAIR synthetase and NCAIR mutase c0	(MMP0282)	De Novo Purine Biosynthesis	cpd00002[c0] + cpd02140[c0] + cpd00242[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd02893[c0] + cpd00008[c0] 	ATP[c0] + AIR[c0] + H2CO3[c0]  -> H[c0] + Phosphate[c0] + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole[c0] + ADP[c0] 	
rxn12637[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11589[c0]  <=> cpd00041[c0] + cpd00033[c0] 	H2O[c0] + gly-asp-L[c0]  <=> L-Aspartate[c0] + Glycine[c0] 	
rxn00321[c0]	L-Lysine 2 3-aminomutase c0	MMP0861	Lysine Degradation	cpd00039[c0]  <=> cpd00840[c0] 	L-Lysine[c0]  <=> L-beta-Lysine[c0] 	
rxn07586[c0]	rxn07586 c0	MMP1591	Coenzyme B12 Biosynthesis	cpd00001[c0] + cpd08371[c0]  <=> cpd00067[c0] + cpd14960[c0] + cpd00071[c0] 	H2O[c0] + Cobalt-precorrin_5[c0]  <=> H[c0] + Cobalt-precorrin_5B[c0] + Acetaldehyde[c0] 	
rxn00902[c0]	3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase c0	MMP1063	Branched Chain Amino Acid Biosynthesis	cpd00022[c0] + cpd00001[c0] + cpd00123[c0]  -> cpd00067[c0] + cpd00010[c0] + cpd01646[c0] 	Acetyl-CoA[c0] + H2O[c0] + 3-Methyl-2-oxobutanoate[c0]  -> H[c0] + CoA[c0] + 2-Isopropylmalate[c0] 	
rxn00952[c0]	O-Acetyl-L-homoserine acetate-lyase adding methanethiol c0	MMP0012	Methionine Biosynthesis	cpd00790[c0] + cpd00239[c0]  -> cpd00067[c0] + cpd00135[c0] + cpd00029[c0] 	O-Acetyl-L-homoserine[c0] + H2S[c0]  -> H[c0] + Homocysteine[c0] + Acetate[c0] 	
rxn10230[c0]	anteisopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15687[c0]  -> cpd00067[c0] + cpd15693[c0] + cpd00046[c0] 	L-Serine[c0] + CDP-1_2-dianteisopentadecanoylglycerol[c0]  -> H[c0] + Dianteisopentadecanoylphosphatidylserine[c0] + CMP[c0] 	
rxn02056[c0]	S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase c0	MMP0089	Heme and Siroheme Biosynthesis	2 cpd00067[c0] + cpd00557[c0]  <=> cpd03426[c0] + cpd10515[c0] 	2 H[c0] + Siroheme[c0]  <=> Sirohydrochlorin[c0] + Fe2[c0] 	
rxn00459[c0]	2-Phospho-D-glycerate hydro-lyase c0	MMP0396	Glycolysis and Gluconeogenesis	cpd00482[c0]  <=> cpd00001[c0] + cpd00061[c0] 	2-Phospho-D-glycerate[c0]  <=> H2O[c0] + Phosphoenolpyruvate[c0] 	
rxn10225[c0]	isohexadecanoyl-phosphatidate cytidylyltransferase c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd15682[c0] + cpd00052[c0]  <=> cpd15688[c0] + cpd00012[c0] 	1_2-diisohexadecanoyl-sn-glycerol_3-phosphate[c0] + CTP[c0]  <=> CDP-1_2-diisohexadecanoylglycerol[c0] + PPi[c0] 	
rxn08311[c0]	CDP-diacylglycerol synthetase n-C18 0 c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15526[c0]  <=> cpd00012[c0] + cpd15421[c0] 	CTP[c0] + 1_2-dioctadecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-dioctadecanoylglycerol[c0] 	
rxn01101[c0]	3-Phospho-D-glycerate NAD 2-oxidoreductase c0	(MMP1588 or MMP0870)	Serine Biosynthesis	cpd00003[c0] + cpd00169[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd02069[c0] 	NAD[c0] + 3-Phosphoglycerate[c0]  <=> H[c0] + NADH[c0] + 3-Phosphonooxypyruvate[c0] 	
rxn00302[c0]	GTP 7 8-8 9-dihydrolase c0	MMP0034	Folate Biosynthesis	cpd00001[c0] + cpd00038[c0]  -> cpd03518[c0] 	H2O[c0] + GTP[c0]  -> Formamidopyrimidine_nucleoside_triphosphate[c0] 	
rxn05145[c0]	Orthophosphate-ABC transport c0	(MMP1098 and (MMP0345 or MMP1095) and MMP1097 and MMP1096 and MMP1099) 	Transport	cpd00001[c0] + cpd00002[c0] + cpd00009[e0]  <=> cpd00067[c0] + 2 cpd00009[c0] + cpd00008[c0] 	H2O[c0] + ATP[c0] + Phosphate[e0]  <=> H[c0] + 2 Phosphate[c0] + ADP[c0] 	
rxn02988[c0]	quinolinate synthase c0	MMP1242	NAD/NADP Cofactor Biosynthesis	cpd03470[c0] + cpd00095[c0]  -> cpd00067[c0] + 2 cpd00001[c0] + cpd00009[c0] + cpd02333[c0] 	Iminoaspartate[c0] + Glycerone-phosphate[c0]  -> H[c0] + 2 H2O[c0] + Phosphate[c0] + Quinolinate[c0] 	
rxn07307[c0]	2R-O-phospho-3-sulfolactate sulfo-lyase c0	MMP0273	Coenzyme M Biosynthesis	cpd00081[c0] + cpd00061[c0]  -> cpd08366[c0] 	Sulfite[c0] + Phosphoenolpyruvate[c0]  -> 2R-Phosphosulfolactate[c0] 	
rxn02937[c0]	2-Formamido-N1-5-phosphoribosylacetamidine cyclo-ligase c0	MMP1254 or MMP0882	De Novo Purine Biosynthesis	cpd00002[c0] + cpd02826[c0]  <=> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02140[c0] 	ATP[c0] + 5'-Phosphoribosylformylglycinamidine[c0]  <=> H[c0] + Phosphate[c0] + ADP[c0] + AIR[c0] 	
rxn00558[c0]	D-Glucose-6-phosphate ketol-isomerase c0	MMP1295	Glycolysis and Gluconeogenesis	cpd00079[c0]  <=> cpd00072[c0] 	D-glucose-6-phosphate[c0]  <=> D-fructose-6-phosphate[c0] 	
rxn01406[c0]	S-Adenosylmethioninamine putrescine 3-aminopropyltransferase c0	MMP1584	Polyamine Metabolism	cpd00118[c0] + cpd00837[c0]  -> cpd00067[c0] + cpd00147[c0] + cpd00264[c0] 	Putrescine[c0] + S-Adenosylmethioninamine[c0]  -> H[c0] + 5-Methylthioadenosine[c0] + Spermidine[c0] 	
rxn00187[c0]	L-Glutamate ammonia ligase ADP-forming c0	MMP1206	Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis	cpd00002[c0] + cpd00013[c0] + cpd00023[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00053[c0] 	ATP[c0] + NH3[c0] + L-Glutamate[c0]  -> H[c0] + Phosphate[c0] + ADP[c0] + L-Glutamine[c0] 	
rxn01200[c0]	Sedoheptulose-7-phosphate D-glyceraldehyde-3-phosphate c0	(MMP1113 or MMP1115)	Pentose Phosphate Pathway	cpd00238[c0] + cpd00102[c0]  <=> cpd00198[c0] + cpd00101[c0] 	Sedoheptulose7-phosphate[c0] + Glyceraldehyde3-phosphate[c0]  <=> D-Xylulose5-phosphate[c0] + ribose-5-phosphate[c0] 	
rxn05232[c0]	Ribonucleotide reductase ATP c0	MMP0227	Ribonucleotide Reduction	cpd11421[c0] + cpd00002[c0]  -> cpd11420[c0] + cpd00001[c0] + cpd00115[c0] 	trdrd[c0] + ATP[c0]  -> trdox[c0] + H2O[c0] + dATP[c0] 	
rxn00835[c0]	ATP inosine 5'-phosphotransferase c0	MMP0418	Purine Conversions	cpd00002[c0] + cpd00246[c0]  <=> cpd00008[c0] + cpd00114[c0] 	ATP[c0] + Inosine[c0]  <=> ADP[c0] + IMP[c0] 	
rxn12844[c0]	Gly-Cys aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd15603[c0]  <=> cpd00033[c0] + cpd00084[c0] 	H2O[c0] + Gly-Cys[c0]  <=> Glycine[c0] + L-Cysteine[c0] 	
rxn01678[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions	cpd00002[c0] + cpd00978[c0]  <=> cpd00008[c0] + cpd00358[c0] 	ATP[c0] + dUDP[c0]  <=> ADP[c0] + dUTP[c0] 	
rxn09208[c0]	Phosphatidylserine syntase n-C16 0 c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15419[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15555[c0] 	L-Serine[c0] + CDP-1_2-dihexadecanoylglycerol[c0]  -> H[c0] + CMP[c0] + phosphatidylserine_dihexadecanoyl[c0] 	
rxn10060[c0]	NAD kinase dTTP c0	MMP1489	NAD/NADP Cofactor Biosynthesis	cpd00003[c0] + cpd00357[c0]  <=> cpd00006[c0] + cpd00297[c0] 	NAD[c0] + TTP[c0]  <=> NADP[c0] + dTDP[c0] 	
rxn00100[c0]	ATP dephospho-CoA 3'-phosphotransferase c0	(MMP1071 or MMP1282)	Coenzyme A Biosynthesis	cpd00002[c0] + cpd00655[c0]  -> cpd00010[c0] + cpd00008[c0] 	ATP[c0] + Dephospho-CoA[c0]  -> CoA[c0] + ADP[c0] 	
rxn01018[c0]	Carbamoyl-phosphate L-aspartate carbamoyltransferase c0	(MMP1104 or MMP1659)	De Novo Pyrimidine Synthesis	cpd00041[c0] + cpd00146[c0]  -> 2 cpd00067[c0] + cpd00009[c0] + cpd00343[c0] 	L-Aspartate[c0] + Carbamoylphosphate[c0]  -> 2 H[c0] + Phosphate[c0] + N-Carbamoyl-L-aspartate[c0] 	
rxn00806[c0]	L-Leucine 2-oxoglutarate aminotransferase c0	MMP0132	Branched Chain Amino Acid Biosynthesis	cpd00024[c0] + cpd00107[c0]  <=> cpd00023[c0] + cpd00200[c0] 	2-Oxoglutarate[c0] + L-Leucine[c0]  <=> L-Glutamate[c0] + 4MOP[c0] 	
rxn02834[c0]	Phosphoribosyl-ATP pyrophosphohydrolase c0	(MMP0280 and MMP0051)	Histidine Biosynthesis	cpd00001[c0] + cpd01775[c0]  -> cpd00012[c0] + cpd01777[c0] 	H2O[c0] + Phosphoribosyl-ATP[c0]  -> PPi[c0] + Phosphoribosyl-AMP[c0] 	
rxn02341[c0]	N-R-4'-Phosphopantothenoyl-L-cysteine carboxy-lyase c0	((MMP0204 or MMP1606) and (MMP0204 or MMP1606))	Coenzyme A Biosynthesis	cpd00067[c0] + cpd02666[c0]  -> cpd00011[c0] + cpd00834[c0] 	H[c0] + R-4'-Phosphopantothenoyl-L-cysteine[c0]  -> CO2[c0] + Phosphopantetheine[c0] 	
rxn03175[c0]	N-5'-Phospho-D-ribosylformimino-5-amino-1- c0	MMP0417	Histidine Biosynthesis	cpd02979[c0]  <=> cpd02991[c0] 	phosphoribosylformiminoaicar-phosphate[c0]  <=> phosphoribulosylformimino-AICAR-phosphate[c0] 	
rxn00786[c0]	D-Fructose-1 6-bisphosphate D-glyceraldehyde-3-phosphate-lyase c0	MMP0293	Glycolysis and Gluconeogenesis	cpd00290[c0]  <=> cpd00095[c0] + cpd00102[c0] 	D-fructose-1_6-bisphosphate[c0]  <=> Glycerone-phosphate[c0] + Glyceraldehyde3-phosphate[c0] 	
rxn01637[c0]	N2-Acetyl-L-ornithine 2-oxoglutarate aminotransferase c0	MMP1101	Arginine Biosynthesis	cpd00024[c0] + cpd00342[c0]  <=> cpd00023[c0] + cpd00918[c0] 	2-Oxoglutarate[c0] + N-Acetylornithine[c0]  <=> L-Glutamate[c0] + 2-Acetamido-5-oxopentanoate[c0] 	
rxn12640[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11586[c0]  <=> cpd00035[c0] + cpd00023[c0] 	H2O[c0] + ala-L-glu-L[c0]  <=> L-Alanine[c0] + L-Glutamate[c0] 	
rxn05596[c0]	potassium transport out via proton antiport c0	MMP0027 or MMP0484 or MMP1430 or MMP1599	Transport	cpd00067[e0] + cpd00205[c0]  <=> cpd00067[c0] + cpd00205[e0] 	H[e0] + K[c0]  <=> H[c0] + K[e0] 	
rxn02569[c0]	ATP selenide water phosphotransferase c0	MMP0904	Selenocysteine Metabolism	cpd00001[c0] + cpd00002[c0] + cpd01078[c0]  <=> 2 cpd00067[c0] + cpd00009[c0] + cpd00018[c0] + cpd03078[c0] 	H2O[c0] + ATP[c0] + Selenide[c0]  <=> 2 H[c0] + Phosphate[c0] + AMP[c0] + Selenophosphate[c0] 	
rxn00710[c0]	Orotidine-5'-phosphate carboxy-lyase c0	MMP0602	De Novo Pyrimidine Synthesis	cpd00067[c0] + cpd00810[c0]  -> cpd00011[c0] + cpd00091[c0] 	H[c0] + Orotidylic_acid[c0]  -> CO2[c0] + UMP[c0] 	
rxn02775[c0]	S-Adenosyl-L-methionine precorrin-4 C20-methyltransferase c0	MMP0319	Coenzyme B12 Biosynthesis	cpd00067[c0] + cpd01620[c0] + cpd00017[c0]  <=> cpd00019[c0] + cpd03420[c0] 	H[c0] + Precorrin_2[c0] + S-Adenosyl-L-methionine[c0]  <=> S-Adenosyl-homocysteine[c0] + Precorrin_3A[c0] 	
rxn07589[c0]	rxn07589 c0	MMP1221	Coenzyme B12 Biosynthesis	cpd00017[c0] + cpd14961[c0]  <=> cpd00011[c0] + cpd00019[c0] + cpd08375[c0] 	S-Adenosyl-L-methionine[c0] + Cobalt-precorrin_7[c0]  <=> CO2[c0] + S-Adenosyl-homocysteine[c0] + Cobalt-precorrin_8[c0] 	
rxn00717[c0]	Cytosine aminohydrolase c0	MMP0869	Creatine and Creatinine Degradation	cpd00067[c0] + cpd00001[c0] + cpd00307[c0]  -> cpd00013[c0] + cpd00092[c0] 	H[c0] + H2O[c0] + Cytosine[c0]  -> NH3[c0] + Uracil[c0] 	
rxn10308[c0]	myristoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	cpd15747[c0] + 24 cpd00037[c0]  <=> 24 cpd00014[c0] + cpd15765[c0] 	Myristoyllipoteichoic_acid_n=24__linked__unsubstituted[c0] + 24 UDP-N-acetylglucosamine[c0]  <=> 24 UDP[c0] + Myristoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn05249[c0]	FACOAL150ISO c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11436[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11437[c0] 	H[c0] + CoA[c0] + ATP[c0] + fa3[c0]  -> PPi[c0] + AMP[c0] + fa3coa[c0] 	
rxn02897[c0]	Nicotinate-nucleotide dimethylbenzimidazole c0	MMP0338	Coenzyme B12 Biosynthesis	cpd01997[c0] + cpd00873[c0]  <=> cpd00067[c0] + cpd00218[c0] + cpd02904[c0] 	Dimethylbenzimidazole[c0] + Nicotinate_ribonucleotide[c0]  <=> H[c0] + Niacin[c0] + alpha-Ribazole_5'-phosphate[c0] 	
rxn03409[c0]	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine- c0	MMP1206	Peptidoglycan Biosynthesis	cpd00002[c0] + cpd00013[c0] + cpd03495[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd03496[c0] 	ATP[c0] + NH3[c0] + Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala[c0]  -> H[c0] + Phosphate[c0] + ADP[c0] + Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutaminyl-meso-2_6-diaminopimeloyl-D-alanyl-D-alanine[c0] 	
rxn01301[c0]	L-Homoserine NAD oxidoreductase c0	MMP1702	Methionine Biosynthesis	cpd00067[c0] + cpd00004[c0] + cpd00346[c0]  <=> cpd00003[c0] + cpd00227[c0] 	H[c0] + NADH[c0] + L-Aspartate4-semialdehyde[c0]  <=> NAD[c0] + L-Homoserine[c0] 	
rxn07191[c0]	D-glyceraldehyde-3-phosphate ferredoxin oxidoreductase c0	MMP0945	Glycolysis and Gluconeogenesis	cpd00001[c0] + cpd00102[c0] + cpd11621[c0]  <=> 3 cpd00067[c0] + cpd00169[c0] + cpd11620[c0] 	H2O[c0] + Glyceraldehyde3-phosphate[c0] + Oxidizedferredoxin[c0]  <=> 3 H[c0] + 3-Phosphoglycerate[c0] + Reducedferredoxin[c0] 	
rxn04046[c0]	S-adenosyl-L-methionine cobalt-factor-II C20-methyltransferase c0	MMP0319	Coenzyme B12 Biosynthesis	cpd00017[c0] + cpd08368[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd08369[c0] 	S-Adenosyl-L-methionine[c0] + Cobalt-precorrin_2[c0]  <=> H[c0] + S-Adenosyl-homocysteine[c0] + Cobalt-precorrin_3[c0] 	
rxn13782[c0]	Protein biosynthesis c0	(MMP1060 and MMP0326 and MMP0946 and MMP0575 and MMP0397 and MMP1592 and MMP1255 and MMP1011 and MMP1026 and MMP1474 and MMP0697 and MMP1510 and MMP0263 and MMP1614 and MMP0584 and MMP1496 and MMP0414 and MMP1616)	Ribosome LSU (Bacteria)	 -> cpd17041[c0] 	 -> Protein_biosynthesis[c0] 	
rxn03407[c0]	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine- c0	MMP1206	Peptidoglycan Biosynthesis	cpd00002[c0] + cpd00013[c0] + cpd03491[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd03492[c0] 	ATP[c0] + NH3[c0] + Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine[c0]  -> H[c0] + Phosphate[c0] + ADP[c0] + Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine[c0] 	
